label, x1, y1, x2, y2, score 
859, 1205.82727051, 1223.32043457, 1356.90856934, 1421.08776855, 0.985013246536 
859, 1249.74865723, 1224.41650391, 1433.2779541, 1423.59887695, 0.30180567503 
859, 2117.06298828, 278.895843506, 2327.23779297, 477.189788818, 0.134779199958 
859, 2333.84106445, 1528.48620605, 2499.98852539, 1712.9810791, 0.114200882614 
110, 2059.93066406, 1350.85705566, 2319.4296875, 1558.65270996, 0.994666934013 
110, 1868.41870117, 1911.23730469, 2179.74243164, 2106.53466797, 0.964311003685 
110, 2006.51977539, 439.707794189, 2288.72583008, 654.5078125, 0.895946860313 
110, 2282.68359375, 969.617492676, 2567.76074219, 1177.87597656, 0.703156113625 
110, 2570.56713867, 440.095672607, 2809.6237793, 620.1640625, 0.575303375721 
110, 1974.70178223, 284.362243652, 2309.9675293, 475.409851074, 0.167331248522 
110, 2217.30395508, 1075.7454834, 2553.70922852, 1297.4510498, 0.157826319337 
110, 2055.5, 424.344177246, 2430.29443359, 633.546569824, 0.11546009779 
248, 1354.80895996, 1197.01928711, 1684.09143066, 1400.48486328, 0.535526037216 
248, 1455.6496582, 1539.54919434, 1782.75, 1756.84997559, 0.373779147863 
111, 2208.20947266, 420.403869629, 2600.71923828, 631.174377441, 0.144314184785 
869, 2234.95263672, 1732.55627441, 2395.859375, 1924.51281738, 0.28689584136 
839, 2082.03173828, 278.749725342, 2314.63916016, 477.329620361, 0.105932980776 
552, 1076.87805176, 1975.30627441, 1379.54846191, 2150.74121094, 0.762954652309 
552, 1179.61755371, 1934.98864746, 1567.91955566, 2136.52319336, 0.167646601796 
748, 988.057617188, 1259.01965332, 1181.57666016, 1435.60412598, 0.694323182106 
748, 2335.59643555, 1535.95532227, 2495.15112305, 1722.28564453, 0.240560904145 
748, 1627.56518555, 1025.53430176, 1824.28027344, 1220.92004395, 0.205478966236 
661, 1356.26635742, 1387.71325684, 1566.01196289, 1601.57019043, 0.863823950291 
661, 1369.734375, 1906.61669922, 1663.13085938, 2127.91699219, 0.545056164265 
661, 1473.68505859, 1950.16564941, 1669.76342773, 2138.89599609, 0.19124981761 
