0,3040,220
0,3808,272
1,2008,360
1,2628,376
1,3236,404
1,3760,416
2,1768,500
2,2532,512
2,3236,548
3,1340,692
3,1916,692
3,2284,684
3,2952,700
4,1112,856
4,1840,828
4,2392,840
4,2984,844
5,924,1040
5,1600,1016
5,2380,996
5,2808,996
6,464,1280
6,1012,1232
6,1508,1204
6,1924,1180
6,2456,1176
6,2876,1164
7,424,1452
7,888,1404
7,1516,1376
7,2260,1352
7,2928,1324
8,316,1680
8,876,1612
8,1492,1572
8,2040,1544
8,2420,1516
8,2816,1504
9,376,1864
9,816,1804
9,1492,1748
9,2044,1708
9,2436,1696
9,2608,1712
10,532,2020
10,1424,1916
10,1764,1900
10,2148,1884
10,2424,1888
11,488,2212
11,1064,2148
11,1600,2104
11,1960,2100
